City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
502,herat,34.5,62.0,15.79,46,0,1.05,AF,1680213687
503,gravdal,68.1214,13.5031,0.94,55,40,7.2,NO,1680213687
504,rio cuarto,-33.1307,-64.3499,23.71,68,0,7.2,AR,1680213687
505,karasuk,53.7377,78.0403,-6.63,81,12,4.24,RU,1680213688
506,kisangani,0.5167,25.2,20.75,99,100,2.01,CD,1680213688
507,camacha,33.0833,-16.3333,18.68,60,0,2.06,PT,1680213688
508,pushkinskiye gory,57.0209,28.9103,0.33,98,93,2.74,RU,1680213689
509,shenandoah,30.4013,-91.0009,26.65,62,76,2.24,US,1680213689
510,wajir,1.7471,40.0573,28.62,56,95,7.83,KE,1680213689
511,starokucherganovka,46.3248,47.9555,1.96,93,100,8.05,RU,1680213690
512,bintulu,3.1667,113.0333,24.23,94,20,1.54,MY,1680213690
513,troitskoye,52.9821,84.6757,-6.59,86,9,1.61,RU,1680213690
514,richards bay,-28.783,32.0377,19.04,94,100,2.73,ZA,1680213691
515,nanortalik,60.1432,-45.2371,-5.67,83,3,2.33,GL,1680213542
516,de aar,-30.6497,24.0123,14.48,37,0,5.63,ZA,1680213691
517,duluth,46.7833,-92.1066,2.82,35,75,2.06,US,1680213692
518,abu samrah,35.3029,37.1841,5.07,54,32,3.05,SY,1680213692
519,port augusta,-32.5,137.7667,17.09,69,100,2.48,AU,1680213692
520,kahului,20.8947,-156.47,27.69,79,59,3.58,US,1680213692
521,grindavik,63.8424,-22.4338,5.97,93,75,3.09,IS,1680213693
522,mandan,46.8267,-100.8896,0.2,75,75,8.23,US,1680213693
523,auki,-8.7676,160.7034,27.38,77,88,0.79,SB,1680213693
524,cap malheureux,-19.9842,57.6142,26.93,79,15,1.79,MU,1680213694
525,foix,42.8333,1.5833,14.73,58,98,3.84,FR,1680213695
526,kemijarvi,66.7131,27.4306,-8.35,94,100,4.5,FI,1680213695
527,sayyan,15.1718,44.3244,13.67,76,91,1.09,YE,1680213695
528,keelung,25.1283,121.7419,17.19,88,100,3.28,TW,1680213696
529,kikwit,-5.041,18.8162,20.37,99,100,0.62,CD,1680213696
530,half moon bay,37.4636,-122.4286,16.01,66,0,8.23,US,1680213696
531,turayf,31.6725,38.6637,8.14,61,40,11.32,SA,1680213697
532,mitsamiouli,-11.3847,43.2844,27.41,77,5,2.55,KM,1680213697
533,orizona,-17.0314,-48.2958,21.23,61,22,1.93,BR,1680213698
534,payakumbuh,-0.2202,100.6308,19.99,95,100,1.14,ID,1680213698
535,visby,57.6409,18.296,1.13,93,100,5.66,SE,1680213597
536,hearst,49.6835,-83.6665,1.14,84,100,5.4,CA,1680213698
537,bastia,42.6667,9.3333,12.39,87,20,1.03,FR,1680213698
538,biak,-0.9131,122.8766,24.45,82,100,1.82,ID,1680213699
539,cururupu,-1.8283,-44.8683,23.98,96,93,1.33,BR,1680213493
540,namatanai,-3.6667,152.4333,26.58,77,100,2.06,PG,1680213637
541,fort frances,48.5999,-93.4003,3.98,34,0,2.06,CA,1680213700
542,kavieng,-2.5744,150.7967,26.12,81,100,2.37,PG,1680213701
543,krasnoselkup,65.7,82.4667,-26.05,98,9,4.24,RU,1680213701
544,nikolayevsk-na-amure,53.1406,140.73,-0.86,91,96,1.36,RU,1680213701
545,lodja,-3.4833,23.4333,20.27,97,100,0.7,CD,1680213702
546,innisfail,-17.5333,146.0333,25.1,78,5,0.94,AU,1680213702
547,hasaki,35.7333,140.8333,11.27,73,97,3.98,JP,1680213575
548,dunedin,-45.8742,170.5036,13.78,84,99,1.23,NZ,1680213702
549,saint anthony,45.0205,-93.218,3.14,67,100,5.66,US,1680213702
550,hanzhong,33.0728,107.0303,12.57,63,72,0.34,CN,1680213703
551,arlit,18.7369,7.3853,25.12,11,0,5.76,NE,1680213703
552,kalbay,5.7233,125.4986,25.24,85,89,2.18,PH,1680213703
553,dakar,14.6937,-17.4441,23.49,94,0,4.12,SN,1680213539
554,wuwei,37.9281,102.6414,10.12,34,100,4.21,CN,1680213704
